word,pos,meaningZh,exampleEn,exampleZh,level,topicTag
"each","adj.","每個","","","7000","7000-words"
"early","adj.","早的;提早的","","","7000","7000-words"
"east","adj.","東方的","","","7000","7000-words"
"easy","adj.","容易的","","","7000","7000-words"
"eight","adj.","八的","","","7000","7000-words"
"eighteen","adj.","十八的","","","7000","7000-words"
"eighty","adj.","八十的","","","7000","7000-words"
"either","adj.","兩者之一","","","7000","7000-words"
"eleven","adj.","十一的","","","7000","7000-words"
"English","adj.","英格蘭的;英國的;英國人的;英語的","","","7000","7000-words"
"enough","adj.","足夠的","","","7000","7000-words"
"equal","adj.","相等的; 平等的","","","7000","7000-words"
"even","adj.","均勻的;偶數的;平手的","","","7000","7000-words"
"every","adj.","每一個的","","","7000","7000-words"
"false","adj.","假的","","","7000","7000-words"
"far","adj.","遠的","","","7000","7000-words"
"fast","adj.","快的","","","7000","7000-words"
"fat","adj.","胖的","","","7000","7000-words"
"few","adj.","少數的;一些","","","7000","7000-words"
"fifteen","adj.","十五的","","","7000","7000-words"
"fifty","adj.","五十的","","","7000","7000-words"
"final","adj.","最終的","","","7000","7000-words"
"fine","adj.","好的","","","7000","7000-words"
"first","adj.","第一的","","","7000","7000-words"
"five","adj.","五的","","","7000","7000-words"
"foreign","adj.","外國的,陌生的,外來的","","","7000","7000-words"
"forty","adj.","四十的","","","7000","7000-words"
"four","adj.","四的","","","7000","7000-words"
"fourteen","adj.","十四的","","","7000","7000-words"
"free","adj.","空閒的;自由的;免費的","","","7000","7000-words"
"fresh","adj.","新鮮的","","","7000","7000-words"
"front","adj.","前面的;正面的","","","7000","7000-words"
"full","adj.","飽的;滿的","","","7000","7000-words"
"funny","adj.","可笑的;滑稽的","","","7000","7000-words"
"general","adj.","普遍的","","","7000","7000-words"
"glad","adj.","高興的","","","7000","7000-words"
"gold","adj.","金製的","","","7000","7000-words"
"good","adj.","好的","","","7000","7000-words"
"grand","adj.","雄偉的;總的","","","7000","7000-words"
"gray","adj.","灰色的","","","7000","7000-words"
"great","adj.","很棒;大的","","","7000","7000-words"
"green","adj.","綠色的","","","7000","7000-words"
"grey","adj.","灰色的","","","7000","7000-words"
"half","adj.","一半的,二分之一的;不完整的","","","7000","7000-words"
"happy","adj.","快樂的","","","7000","7000-words"
"hard","adj.","硬的;難的","","","7000","7000-words"
"heavy","adj.","重的","","","7000","7000-words"
"high","adj.","高的","","","7000","7000-words"
"home","adj.","家庭的;國內的","","","7000","7000-words"
"hot","adj.","熱的","","","7000","7000-words"
"huge","adj.","巨大的","","","7000","7000-words"
"human","adj.","人類的","","","7000","7000-words"
"hundred","adj.","一百的","","","7000","7000-words"
"hungry","adj.","飢餓的","","","7000","7000-words"
"important","adj.","重要的","","","7000","7000-words"
"in","adj.","在裡面的","","","7000","7000-words"
"inside","adj.","裡面的,內側的;內幕的","","","7000","7000-words"
"iron","adj.","鐵的;剛強的;殘酷的","","","7000","7000-words"
"just","adj.","正直的;公平的;應得的;正確的","","","7000","7000-words"
"key","adj.","重要的,基本的,關鍵的","","","7000","7000-words"
"kind","adj.","仁慈的","","","7000","7000-words"
"large","adj.","大的","","","7000","7000-words"
"last","adj.","最後的","","","7000","7000-words"
"late","adj.","晚的;遲的","","","7000","7000-words"
"lazy","adj.","懶惰的","","","7000","7000-words"
"least","adj.","最小的;最少的;最不重要的","","","7000","7000-words"
"left","adj.","左邊的","","","7000","7000-words"
"less","adj.","較少的","","","7000","7000-words"
"level","adj.","水平的,平的;筆直的","","","7000","7000-words"
"light","adj.","輕的","","","7000","7000-words"
"likely","adj.","有可能的","","","7000","7000-words"
"little","adj.","很少的","","","7000","7000-words"
"live","adj.","活的,有生命的;燃著的;實況播送的","","","7000","7000-words"
"long","adj.","長的","","","7000","7000-words"
"loud","adj.","大聲的","","","7000","7000-words"
"low","adj.","低的;矮的","","","7000","7000-words"
"lucky","adj.","幸運的","","","7000","7000-words"
"mad","adj.","發火;發瘋;發狂的","","","7000","7000-words"
"many","adj.","很多的","","","7000","7000-words"
"mean","adj.","兇的;吝嗇的","","","7000","7000-words"
"middle","adj.","中間的","","","7000","7000-words"
"more","adj.","更多的","","","7000","7000-words"
"most","adj.","最多的;大部分的","","","7000","7000-words"
"much","adj.","很多的","","","7000","7000-words"
"near","adj.","近的","","","7000","7000-words"
"new","adj.","新的","","","7000","7000-words"
"next","adj.","下一個","","","7000","7000-words"
"nice","adj.","好的","","","7000","7000-words"
"nine","adj.","九的","","","7000","7000-words"
"nineteen","adj.","十九的","","","7000","7000-words"
"ninety","adj.","九十的","","","7000","7000-words"
"no","adj.","沒有;不","","","7000","7000-words"
"noisy","adj.","喧鬧的","","","7000","7000-words"
"north","adj.","北方的","","","7000","7000-words"
"O.K.","adj.","可以的;不錯的;很好的","","","7000","7000-words"
"off","adj.","離去的;偏離的;休假的;關著的","","","7000","7000-words"
"OK","adj.","好吧","","","7000","7000-words"
"okay","adj.","對;可以;不錯","","","7000","7000-words"
"old","adj.","年老的","","","7000","7000-words"
"one","adj.","一個的","","","7000","7000-words"
"open","adj.","打開的;空曠的;未定的;營業的;公開的","","","7000","7000-words"
"orange","adj.","橙色的","","","7000","7000-words"
"other","adj.","其他的","","","7000","7000-words"
"out","adj.","在外的","","","7000","7000-words"
"outside","adj.","外邊的,外部的","","","7000","7000-words"
"own","adj.","自己的","","","7000","7000-words"
"past","adj.","過去的","","","7000","7000-words"
"poor","adj.","貧窮的","","","7000","7000-words"
"possible","adj.","可能的","","","7000","7000-words"
"pretty","adj.","漂亮的","","","7000","7000-words"
"public","adj.","公開的;公立的","","","7000","7000-words"
"purple","adj.","紫色的","","","7000","7000-words"
"quick","adj.","快的","","","7000","7000-words"
"quiet","adj.","安靜的","","","7000","7000-words"
"ready","adj.","準備好的","","","7000","7000-words"
"real","adj.","真實的","","","7000","7000-words"
"red","adj.","紅色的","","","7000","7000-words"
"rich","adj.","富有的","","","7000","7000-words"
"right","adj.","右邊;對的","","","7000","7000-words"
"round","adj.","圓形的","","","7000","7000-words"
"sad","adj.","難過的","","","7000","7000-words"
"safe","adj.","安全的","","","7000","7000-words"
"salt","adj.","鹹水的;含鹽的;(故事,笑話等)猥褻的","","","7000","7000-words"
"same","adj.","相同的","","","7000","7000-words"
"second","adj.","第二的;次要的,副的,從屬的","","","7000","7000-words"
"selfish","adj.","自私的","","","7000","7000-words"
"seven","adj.","七的","","","7000","7000-words"
"seventeen","adj.","十七的","","","7000","7000-words"
"seventy","adj.","七十的","","","7000","7000-words"
"several","adj.","幾個的","","","7000","7000-words"
"sharp","adj.","尖銳的;敏銳的","","","7000","7000-words"
"short","adj.","矮的;短的","","","7000","7000-words"
"shy","adj.","害羞的","","","7000","7000-words"
"sick","adj.","生病的","","","7000","7000-words"
"silly","adj.","傻的;無聊的","","","7000","7000-words"
"silver","adj.","銀的;銀白的","","","7000","7000-words"
"simple","adj.","簡單的","","","7000","7000-words"
"six","adj.","六的","","","7000","7000-words"
"sixteen","adj.","十六的","","","7000","7000-words"
"sixty","adj.","六十的","","","7000","7000-words"
"slow","adj.","緩慢的","","","7000","7000-words"
"small","adj.","小的","","","7000","7000-words"
"smart","adj.","聰明的","","","7000","7000-words"
"soft","adj.","柔軟的","","","7000","7000-words"
"some","adj.","一些的","","","7000","7000-words"
"sorry","adj.","抱歉;遺憾的","","","7000","7000-words"
"sound","adj.","完好的;堅固的;合理的,明智的;殷實的","","","7000","7000-words"
"sour","adj.","酸的","","","7000","7000-words"
"south","adj.","南方的","","","7000","7000-words"
"special","adj.","特別的","","","7000","7000-words"
"still","adj.","靜止的","","","7000","7000-words"
"strange","adj.","奇怪的","","","7000","7000-words"
"strong","adj.","強壯的","","","7000","7000-words"
"stupid","adj.","笨的","","","7000","7000-words"
"such","adj.","如此的","","","7000","7000-words"
"super","adj.","超級的","","","7000","7000-words"
"sure","adj.","確定","","","7000","7000-words"
"sweet","adj.","甜的","","","7000","7000-words"
"tall","adj.","高的","","","7000","7000-words"
"ten","adj.","十的","","","7000","7000-words"
"that","adj.","那;那個","","","7000","7000-words"
"then","adj.","當時的","","","7000","7000-words"
"these","adj.","這些 (this 的複數)","","","7000","7000-words"
"third","adj.","第三","","","7000","7000-words"
"thirteen","adj.","十三的","","","7000","7000-words"
"thirty","adj.","三十的","","","7000","7000-words"
"this","adj.","這","","","7000","7000-words"
"those","adj.","那些的;那","","","7000","7000-words"
"thousand","adj.","千的","","","7000","7000-words"
"three","adj.","三的","","","7000","7000-words"
"tiny","adj.","微小的","","","7000","7000-words"
"top","adj.","最高的","","","7000","7000-words"
"total","adj.","總的","","","7000","7000-words"
"true","adj.","真實的;正確的","","","7000","7000-words"
"twelve","adj.","十二的","","","7000","7000-words"
"twenty","adj.","二十的","","","7000","7000-words"
"two","adj.","二的","","","7000","7000-words"
"up","adj.","向上的;上行的","","","7000","7000-words"
"upstairs","adj.","樓上的","","","7000","7000-words"
"useful","adj.","有用的","","","7000","7000-words"
"warm","adj.","溫暖的","","","7000","7000-words"
"weak","adj.","虛弱的","","","7000","7000-words"
"welcome","adj.","受歡迎的;令人愉快的;被允許的","","","7000","7000-words"
"well","adj.","健康的","","","7000","7000-words"
"west","adj.","西方的","","","7000","7000-words"
"what","adj.","什麼;多麼,何等","","","7000","7000-words"
"which","adj.","哪一個,哪一些;這個,這些","","","7000","7000-words"
"white","adj.","白色的","","","7000","7000-words"
"whole","adj.","完整的","","","7000","7000-words"
"wide","adj.","寬的,廣泛的","","","7000","7000-words"
"worse","adj.","更壞的,更差的","","","7000","7000-words"
"worst","adj.","最壞的;最差的","","","7000","7000-words"
"wrong","adj.","錯誤的","","","7000","7000-words"
"yellow","adj.","黃色的","","","7000","7000-words"
"young","adj.","年輕的","","","7000","7000-words"
"yucky","adj.","討人厭的;噁心的","","","7000","7000-words"
"yummy","adj.","好吃的","","","7000","7000-words"
"act","v.","扮演","","","7000","7000-words"
"add","v.","添加","","","7000","7000-words"
"address","v.","寫上收件人姓名地址;向...致詞","","","7000","7000-words"
"age","v.","使變老;使(酒之)味道變醇;使成熟","","","7000","7000-words"
"agree","v.","同意","","","7000","7000-words"
"allow","v.","允許","","","7000","7000-words"
"am","v.","是,在; be 動詞第一人稱,單數,現在式","","","7000","7000-words"
"answer","v.","回答","","","7000","7000-words"
"ape","v.","模仿","","","7000","7000-words"
"appear","v.","出現","","","7000","7000-words"
"are","v.","是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式","","","7000","7000-words"
"ask","v.","問","","","7000","7000-words"
"back","v.","向後;追溯;回覆;贊助","","","7000","7000-words"
"ball","v.","使成球形; 呈球狀","","","7000","7000-words"
"balloon","v.","像氣球般鼓起(或膨脹);乘氣球上升;激增","","","7000","7000-words"
"bank","v.","存(款)於銀行;築堤防護;堆積","","","7000","7000-words"
"bar","v.","閂住;阻攔;禁止","","","7000","7000-words"
"base","v.","以...為基地","","","7000","7000-words"
"bat","v.","揮打;眨(眼)","","","7000","7000-words"
"bathe","v.","洗澡","","","7000","7000-words"
"be","v.","是;要;有;在","","","7000","7000-words"
"beach","v.","將(船等)拖上岸","","","7000","7000-words"
"beat","v.","擊敗;敲擊","","","7000","7000-words"
"become","v.","變成","","","7000","7000-words"
"begin","v.","開始","","","7000","7000-words"
"believe","v.","相信","","","7000","7000-words"
"belong","v.","屬於","","","7000","7000-words"
"best","v.","打敗;勝過","","","7000","7000-words"
"better","v.","改善;提高;超過;變得較好","","","7000","7000-words"
"bite","v.","咬","","","7000","7000-words"
"block","v.","阻塞","","","7000","7000-words"
"blow","v.","吹","","","7000","7000-words"
"book","v.","預訂;預雇;預約;登記","","","7000","7000-words"
"bottom","v.","基於,根據;到達底部;降至最低點","","","7000","7000-words"
"box","v.","把...裝箱(或盒等)","","","7000","7000-words"
"break","v.","斷裂;中斷;打破（記錄）","","","7000","7000-words"
"breakfast","v.","吃早餐; 為...供應早餐","","","7000","7000-words"
"bridge","v.","架橋於;把...連結(或彌合)起來","","","7000","7000-words"
"bring","v.","帶來","","","7000","7000-words"
"brown","v.","變成褐色(或棕色)","","","7000","7000-words"
"bug","v.","在...安裝竊聽器;煩擾;激怒","","","7000","7000-words"
"build","v.","建造;蓋","","","7000","7000-words"
"bus","v.","用公車運送","","","7000","7000-words"
"busy","v.","使忙於","","","7000","7000-words"
"butter","v.","塗奶油於;以花言巧語討好","","","7000","7000-words"
"buy","v.","買","","","7000","7000-words"
"cage","v.","把...關進籠子;把...囚禁起來","","","7000","7000-words"
"call","v.","喊;打電話","","","7000","7000-words"
"camp","v.","露營","","","7000","7000-words"
"can","v.","能,會;可能;可以;必須","","","7000","7000-words"
"cap","v.","給...戴帽;加蓋於","","","7000","7000-words"
"care","v.","關心;照顧","","","7000","7000-words"
"carry","v.","提;搬運","","","7000","7000-words"
"case","v.","把...裝入箱(或容器)中","","","7000","7000-words"
"catch","v.","接(球);捕獲","","","7000","7000-words"
"cause","v.","導致,使發生,引起","","","7000","7000-words"
"center","v.","集中;居中","","","7000","7000-words"
"chair","v.","主持(會議);任(會議的)主席","","","7000","7000-words"
"chance","v.","冒...的險;賭(錢); 碰巧","","","7000","7000-words"
"chart","v.","繪製...的圖表;詳細計劃","","","7000","7000-words"
"chase","v.","追","","","7000","7000-words"
"check","v.","檢查","","","7000","7000-words"
"class","v.","把...分類;把...分等級","","","7000","7000-words"
"clean","v.","打掃","","","7000","7000-words"
"clear","v.","使乾淨;收拾;交換票據","","","7000","7000-words"
"climb","v.","爬;攀登","","","7000","7000-words"
"close","v.","關上","","","7000","7000-words"
"cloud","v.","陰雲密佈;變暗;變模糊;變混濁","","","7000","7000-words"
"coat","v.","塗在...上;給...穿上外套","","","7000","7000-words"
"color","v.","著色;渲染;文飾;歪曲;影響","","","7000","7000-words"
"come","v.","到來","","","7000","7000-words"
"continue","v.","繼續","","","7000","7000-words"
"cook","v.","煮","","","7000","7000-words"
"cool","v.","使涼快;使冷卻","","","7000","7000-words"
"correct","v.","改正;糾正","","","7000","7000-words"
"cost","v.","花費","","","7000","7000-words"
"count","v.","計算;數","","","7000","7000-words"
"course","v.","(用獵犬)追獵;追逐","","","7000","7000-words"
"cover","v.","蓋住","","","7000","7000-words"
"cry","v.","哭叫","","","7000","7000-words"
"cup","v.","使(手掌)成杯狀;把...放入杯內","","","7000","7000-words"
"cut","v.","切割;剪","","","7000","7000-words"
"dance","v.","跳舞","","","7000","7000-words"
"darken","v.","使變暗;變黑","","","7000","7000-words"
"date","v.","約會","","","7000","7000-words"
"deal","v.","處理;對付;對待[(+with)]","","","7000","7000-words"
"decide","v.","決定","","","7000","7000-words"
"die","v.","死","","","7000","7000-words"
"dig","v.","挖掘","","","7000","7000-words"
"direct","v.","指引","","","7000","7000-words"
"dirty","v.","弄髒; 變髒","","","7000","7000-words"
"discover","v.","發現","","","7000","7000-words"
"dish","v.","盛...於盤中","","","7000","7000-words"
"do","v.","做","","","7000","7000-words"
"down","v.","擊倒","","","7000","7000-words"
"draw","v.","畫;繪製;描寫","","","7000","7000-words"
"dream","v.","做(夢);想像","","","7000","7000-words"
"drink","v.","喝","","","7000","7000-words"
"drive","v.","開車","","","7000","7000-words"
"dry","v.","曬乾;風乾","","","7000","7000-words"
"duck","v.","躲避;迴避","","","7000","7000-words"
"ease","v.","減輕","","","7000","7000-words"
"eat","v.","吃","","","7000","7000-words"
"edge","v.","使鋒利;使漸進","","","7000","7000-words"
"end","v.","結束","","","7000","7000-words"
"enter","v.","輸入;進入","","","7000","7000-words"
"equal","v.","等於","","","7000","7000-words"
"even","v.","使平坦;弄平;使相等","","","7000","7000-words"
"examine","v.","檢查;測驗","","","7000","7000-words"
"except","v.","把...除外;反對","","","7000","7000-words"
"eye","v.","看;注視;審視","","","7000","7000-words"
"face","v.","面向;正對;正視;朝;向","","","7000","7000-words"
"fall","v.","掉下","","","7000","7000-words"
"fan","v.","扇;煽動;激起","","","7000","7000-words"
"farm","v.","耕作;養殖;經營農場;從事畜牧業","","","7000","7000-words"
"father","v.","做...的父親; 創始;創立","","","7000","7000-words"
"fear","v.","畏懼","","","7000","7000-words"
"feed","v.","吃;餵養","","","7000","7000-words"
"feel","v.","感覺","","","7000","7000-words"
"fight","v.","打架;作戰","","","7000","7000-words"
"fill","v.","充滿;填充","","","7000","7000-words"
"find","v.","找到","","","7000","7000-words"
"fine","v.","使純;澄清;使精細","","","7000","7000-words"
"finger","v.","撥弄;指出;告密;告發","","","7000","7000-words"
"finish","v.","完成","","","7000","7000-words"
"fire","v.","解雇,開除;點燃; 開火;射擊","","","7000","7000-words"
"fish","v.","釣魚","","","7000","7000-words"
"floor","v.","在...鋪設地板;使大為震驚","","","7000","7000-words"
"flower","v.","開花;發育,成熟;繁榮","","","7000","7000-words"
"fly","v.","飛","","","7000","7000-words"
"fog","v.","以霧籠罩;使困惑;使模糊","","","7000","7000-words"
"follow","v.","遵循;跟隨","","","7000","7000-words"
"foot","v.","支付(帳單或費用);合計為,總計","","","7000","7000-words"
"force","v.","強迫","","","7000","7000-words"
"forget","v.","忘記","","","7000","7000-words"
"fork","v.","分歧,分叉","","","7000","7000-words"
"free","v.","使自由;解放;使解脫","","","7000","7000-words"
"front","v.","向前;在前面;面對","","","7000","7000-words"
"fruit","v.","結果實; 使結果實","","","7000","7000-words"
"garden","v.","從事園藝,在園中種植;","","","7000","7000-words"
"gas","v.","放出氣體;加油;空談;吹牛","","","7000","7000-words"
"get","v.","得到;拿到","","","7000","7000-words"
"give","v.","給","","","7000","7000-words"
"go","v.","去;走","","","7000","7000-words"
"gray","v.","使成灰色(或灰白)","","","7000","7000-words"
"green","v.","使成為綠色","","","7000","7000-words"
"grey","v.","使成灰色","","","7000","7000-words"
"ground","v.","使擱淺;使停飛;依靠,根據,基於","","","7000","7000-words"
"group","v.","把...分組(或歸類)","","","7000","7000-words"
"grow","v.","種植;成長","","","7000","7000-words"
"guess","v.","猜","","","7000","7000-words"
"guest","v.","款待,招待","","","7000","7000-words"
"guide","v.","引導","","","7000","7000-words"
"gun","v.","用槍射擊","","","7000","7000-words"
"hand","v.","面交,給,傳遞","","","7000","7000-words"
"happen","v.","發生","","","7000","7000-words"
"hate","v.","憎恨","","","7000","7000-words"
"have","v.","有","","","7000","7000-words"
"head","v.","率領;出發,駛往","","","7000","7000-words"
"hear","v.","聽見","","","7000","7000-words"
"heat","v.","把...加熱;使暖;使激動;刺激","","","7000","7000-words"
"help","v.","幫忙","","","7000","7000-words"
"hit","v.","打;擊","","","7000","7000-words"
"hold","v.","拿著","","","7000","7000-words"
"hole","v.","鑿洞於,穿孔於;進入洞中","","","7000","7000-words"
"home","v.","回家;為...提供住處","","","7000","7000-words"
"hope","v.","希望","","","7000","7000-words"
"house","v.","給...房子住","","","7000","7000-words"
"hurt","v.","傷害;使疼痛","","","7000","7000-words"
"inch","v.","使緩慢地移動","","","7000","7000-words"
"interest","v.","使發生興趣","","","7000","7000-words"
"iron","v.","熨燙","","","7000","7000-words"
"is","v.","是,在; be 動詞第三人稱,單數,現在式","","","7000","7000-words"
"join","v.","加入","","","7000","7000-words"
"joke","v.","開玩笑","","","7000","7000-words"
"jump","v.","跳躍","","","7000","7000-words"
"keep","v.","保留;保持","","","7000","7000-words"
"key","v.","鎖上;插上;為...調音;用鍵盤輸入","","","7000","7000-words"
"kick","v.","踢","","","7000","7000-words"
"kid","v.","戲弄","","","7000","7000-words"
"kill","v.","殺","","","7000","7000-words"
"kiss","v.","親吻","","","7000","7000-words"
"knee","v.","用膝蓋碰(撞)","","","7000","7000-words"
"knife","v.","(用刀)切;戮,刺","","","7000","7000-words"
"know","v.","知道","","","7000","7000-words"
"lack","v.","缺乏","","","7000","7000-words"
"lamb","v.","產羔羊","","","7000","7000-words"
"land","v.","登陸","","","7000","7000-words"
"last","v.","持續","","","7000","7000-words"
"laugh","v.","笑","","","7000","7000-words"
"lay","v.","置放;產卵","","","7000","7000-words"
"lead","v.","引導","","","7000","7000-words"
"leaf","v.","匆匆翻閱; 生葉片","","","7000","7000-words"
"learn","v.","學習","","","7000","7000-words"
"leave","v.","離開;丟下","","","7000","7000-words"
"let","v.","讓","","","7000","7000-words"
"lie","v.","說謊;躺","","","7000","7000-words"
"lift","v.","舉起","","","7000","7000-words"
"light","v.","點(火);點燃;照亮","","","7000","7000-words"
"like","v.","喜歡","","","7000","7000-words"
"line","v.","排隊","","","7000","7000-words"
"list","v.","列成表","","","7000","7000-words"
"listen","v.","傾聽","","","7000","7000-words"
"live","v.","居住","","","7000","7000-words"
"long","v.","長久地;始終; 渴望","","","7000","7000-words"
"look","v.","看","","","7000","7000-words"
"love","v.","愛好,喜歡","","","7000","7000-words"
"lunch","v.","吃午餐","","","7000","7000-words"
"machine","v.","用機器做","","","7000","7000-words"
"mail","v.","寄信","","","7000","7000-words"
"make","v.","製造; 使得","","","7000","7000-words"
"man","v.","給...配置人員","","","7000","7000-words"
"map","v.","繪製...的地圖;詳細計劃","","","7000","7000-words"
"market","v.","(在市場上)銷售","","","7000","7000-words"
"marry","v.","結婚","","","7000","7000-words"
"master","v.","精通","","","7000","7000-words"
"matter","v.","有關係,要緊","","","7000","7000-words"
"mean","v.","意指","","","7000","7000-words"
"meet","v.","遇見","","","7000","7000-words"
"middle","v.","放在中間;對摺","","","7000","7000-words"
"milk","v.","擠(奶);榨取;偷聽電訊","","","7000","7000-words"
"mind","v.","介意","","","7000","7000-words"
"miss","v.","想念;惦記;未達到","","","7000","7000-words"
"mistake","v.","弄錯,誤解;弄錯,搞錯","","","7000","7000-words"
"mother","v.","生下;產生出","","","7000","7000-words"
"mouth","v.","誇大地說話","","","7000","7000-words"
"move","v.","移動","","","7000","7000-words"
"name","v.","給...取名;列舉","","","7000","7000-words"
"near","v.","近,接近;幾乎,差不多","","","7000","7000-words"
"neck","v.","摟著脖子親吻;變細;變狹窄","","","7000","7000-words"
"need","v.","需要","","","7000","7000-words"
"nose","v.","探問,探著;引導;嗅,聞","","","7000","7000-words"
"note","v.","注意;記下","","","7000","7000-words"
"notice","v.","注意到;通知","","","7000","7000-words"
"number","v.","編號,總數達到,共計","","","7000","7000-words"
"nurse","v.","看護,護理;給...餵奶;培育;當奶媽","","","7000","7000-words"
"O.K.","v.","尚可;挺好;批准","","","7000","7000-words"
"oil","v.","給...加潤滑油;賄賂","","","7000","7000-words"
"OK","v.","尚可;挺好;批准","","","7000","7000-words"
"okay","v.","對,很好地;批准,認可","","","7000","7000-words"
"open","v.","打開","","","7000","7000-words"
"order","v.","點菜;訂購","","","7000","7000-words"
"out","v.","出現;問世;顯露","","","7000","7000-words"
"own","v.","擁有","","","7000","7000-words"
"paint","v.","畫圖;油漆","","","7000","7000-words"
"pair","v.","成對,配對","","","7000","7000-words"
"paper","v.","用紙包;掩蓋,粉飾","","","7000","7000-words"
"park","v.","停放車輛; 放置","","","7000","7000-words"
"part","v.","使分開,使分離;斷裂;告別","","","7000","7000-words"
"party","v.","開派對;參加派對","","","7000","7000-words"
"pass","v.","及格;經過;超過;傳遞","","","7000","7000-words"
"pay","v.","付錢","","","7000","7000-words"
"pen","v.","寫;寫作;囚禁","","","7000","7000-words"
"pencil","v.","草擬,起草","","","7000","7000-words"
"people","v.","使人住在,居住於","","","7000","7000-words"
"pet","v.","把...當作寵兒;寵愛;撫弄;生氣","","","7000","7000-words"
"picture","v.","畫,拍攝;描述","","","7000","7000-words"
"piece","v.","拼湊;拼合;修理;修補","","","7000","7000-words"
"pig","v.","生小豬;像豬一樣過活","","","7000","7000-words"
"place","v.","放置,安置;任命","","","7000","7000-words"
"plan","v.","計劃","","","7000","7000-words"
"plant","v.","栽種;播種","","","7000","7000-words"
"play","v.","玩","","","7000","7000-words"
"please","v.","請;取悅","","","7000","7000-words"
"pocket","v.","侵吞;擊(球)落袋;忍受","","","7000","7000-words"
"point","v.","瞄準;指出;強調;對準","","","7000","7000-words"
"police","v.","管理,監督","","","7000","7000-words"
"pool","v.","合辦,聯營","","","7000","7000-words"
"position","v.","把...放在適當位置","","","7000","7000-words"
"power","v.","給...提供動力; 快速前進","","","7000","7000-words"
"practice","v.","練習;訓練","","","7000","7000-words"
"prepare","v.","準備","","","7000","7000-words"
"price","v.","給...定價","","","7000","7000-words"
"print","v.","印刷;用印刷體寫","","","7000","7000-words"
"prove","v.","證明,證實","","","7000","7000-words"
"pull","v.","拉","","","7000","7000-words"
"push","v.","推開","","","7000","7000-words"
"put","v.","放置","","","7000","7000-words"
"question","v.","詢問","","","7000","7000-words"
"quiet","v.","使安靜;撫慰,安慰","","","7000","7000-words"
"race","v.","與...賽跑","","","7000","7000-words"
"radio","v.","用無線電傳送","","","7000","7000-words"
"rain","v.","下雨","","","7000","7000-words"
"raise","v.","舉起;提高","","","7000","7000-words"
"reach","v.","到;伸出","","","7000","7000-words"
"read","v.","閱讀","","","7000","7000-words"
"ready","v.","預先,事先;使準備好","","","7000","7000-words"
"reason","v.","推論,推理","","","7000","7000-words"
"receive","v.","收到","","","7000","7000-words"
"remember","v.","記得","","","7000","7000-words"
"report","v.","報告;報導","","","7000","7000-words"
"rest","v.","休息","","","7000","7000-words"
"return","v.","回;還","","","7000","7000-words"
"ride","v.","騎;乘","","","7000","7000-words"
"ring","v.","(鐘,鈴等)鳴,響","","","7000","7000-words"
"rise","v.","起身;升起","","","7000","7000-words"
